id_usuario,nombre,email,fecha_registro,ciudad,plan,telefono,utm_source,utm_campaign,columna_innecesaria1,columna_innecesaria2
80.0,PEDRO ROJAS,correo_invalido,,PROVIDENCIA,Enterprise,,  GOOGLE  ,blackfriday,,   
81.0,,javiera240@empresa.cl,2023-01-14,Maipú,,+56 9 2274 3810,google,summer,1834.0,y
82.0,Camila Fuentes,correo_invalido,2024-13-40,,Free,+56 9 2111 1764,  GOOGLE  ,,3266.0,   
83.0,Juan Soto,correo_invalido,19/05/2024,,Enterprise,+56 9 8817 2636,google,blackfriday,,
84.0,diego herrera,diego953@empresa.cl,2024-06-18,puente alto,Enterprise,,  GOOGLE  ,summer,6766.0,   
85.0,,correo_invalido,2023/07/21 00:00:00,Santiago,Enterprise,+56 9 3791 8144,  GOOGLE  ,blackfriday,4725.0,x
86.0,,,2025-10-02,la florida,,,meta,blackfriday,8165.0,x
,Juan Soto,,2024-13-40, Santiago , free ,9-123,google,,,
88.0,,diego240@mail.com,23/10/2025,La Florida,,9-123,linkedin,blackfriday,,y
89.0,Valentina Torres,,2024-13-40,,Pro,,linkedin,blackfriday,2556.0,
90.0,MATÍAS GONZÁLEZ,,2025/12/05 00:00:00,Puente Alto,Pro,,meta,blackfriday,,   
,Luis Díaz,,2024-02-06,Maipú,Free,9-123,meta,,7591.0,y
,LUIS DÍAZ,correo_invalido,2025-04-08,La Florida, free ,9-123,meta,summer,,
93.0, Luis Díaz ,,20-07-2023, Maipú , free ,9-123,meta,,,   
,JUAN SOTO,correo_invalido,2023/03/20 00:00:00,Ñuñoa,,+56 9 8483 9864,,summer,,   
95.0, Valentina Torres ,correo_invalido,2024-13-40,la florida,Free,,,summer,219.0,   
96.0,Diego Herrera,correo_invalido,,Maipú,Pro,+56 9 7421 8571,meta,blackfriday,1129.0,   
97.0,,,07/04/2024,Ñuñoa,Pro,+56 9 8690 6812,linkedin,SUMMER ,,y
98.0,valentina torres,,2024-13-40, Maipú , free ,+56 9 2399 6938,linkedin,SUMMER ,935.0,
,Maria López,maría16@gmail.com,2025/12/22 00:00:00,,Enterprise,9-123,meta,blackfriday,,
,MARÍA LÓPEZ,correo_invalido,03-03-2024,,Enterprise,9-123,meta,summer,7186.0,x
101.0, Luis Díaz ,,08/05/2025,MAIPÚ, free ,+56 9 5039 9162,  GOOGLE  ,summer,,   
102.0, Matías González ,,2024-13-40,Puente Alto,Pro,+56 9 6904 1467,  GOOGLE  ,summer,5415.0,   
103.0,,,2023-10-23,,Enterprise,9-123,  GOOGLE  ,blackfriday,,
104.0,diego herrera,,,maipú,,,meta,SUMMER ,,y
,,,04/09/2024,Puente Alto, free ,,linkedin,summer,102.0,y
,Valentina Torres,correo_invalido,,,,+56 9 2359 4481,,blackfriday,1661.0,x
107.0,diego herrera,,2024-13-40,,Enterprise,,google,,,x
108.0, Valentina Torres ,,2025-12-05,Santiago, free ,,  GOOGLE  ,summer,,y
109.0,María López,maría701@gmail.com,01-02-2023,Providencia,Pro,,  GOOGLE  ,blackfriday,7386.0,x
110.0,camila fuentes,,2024-13-40,puente alto,Free,+56 9 1523 1186,google,summer,,
,Matías González,correo_invalido,06-12-2023, Puente Alto , free ,+56 9 3727 3374,linkedin,blackfriday,,   
112.0,valentina torres,correo_invalido,,,,+56 9 6440 1253,  GOOGLE  ,,,y
113.0,Diego Herrera,,2024-13-40,,Free,,,blackfriday,9612.0,
,,,2023/10/29 00:00:00,La Florida,,+56 9 8942 7254,meta,,9944.0,   
,Valentina Torres,,2024/02/28 00:00:00,La Florida,,+56 9 6818 2026,,,,   
116.0,JAVIERA SILVA,correo_invalido,18/02/2024,ñuñoa,,9-123,meta,blackfriday,,
117.0,Juan Soto,correo_invalido,2024-13-40,santiago,Enterprise,+56 9 9510 1337,google,blackfriday,,y
118.0, Luis Díaz ,,27-07-2024,santiago,Pro,+56 9 3961 7196,google,summer,,   
, Valentina Torres ,correo_invalido,,santiago,Enterprise,9-123,  GOOGLE  ,SUMMER ,,y
120.0,CAMILA FUENTES,,2024-13-40,Santiago,Free,9-123,,summer,1656.0,
,ana pérez,correo_invalido,2024-13-40, Santiago ,Enterprise,,google,,,y
,Valentina Torres,valentina480@outlook.com,03/05/2024,PROVIDENCIA,Free,,google,SUMMER ,357.0,   
123.0,Camila Fuentes,camila644@empresa.cl,22/10/2024,ÑUÑOA,Free,9-123,meta,SUMMER ,,   
124.0,diego herrera,,20/05/2024,providencia, free ,,,summer,2513.0,y
125.0,javiera silva,,2025/09/04 00:00:00,maipú,Pro,,linkedin,SUMMER ,2658.0,
,maría lópez,,02-02-2023,Santiago,Enterprise,,google,SUMMER ,,y
127.0,,correo_invalido,,Santiago,,+56 9 9117 5487,meta,blackfriday,,y
,Ana Pérez,correo_invalido,2024-13-40,ñuñoa,Enterprise,+56 9 9077 2479,,SUMMER ,,y
129.0,,,2025-01-21, La Florida ,,,meta,,6249.0,
,Juan Soto,juan544@outlook.com,10-10-2025,Providencia,Pro,+56 9 3988 3750,linkedin,,9100.0,x
131.0,Juan Soto,correo_invalido,2024/02/04 00:00:00,, free ,+56 9 2685 6745,meta,summer,4474.0,   
132.0,Valentina Torres,valentina125@mail.com,2025/10/22 00:00:00,La Florida,Pro,9-123,  GOOGLE  ,SUMMER ,6499.0,x
,Diego Herrera,diego38@mail.com,,ñuñoa, free ,9-123,,,6564.0,
134.0,JAVIERA SILVA,correo_invalido,2024-13-40,Puente Alto,Enterprise,+56 9 2786 9696,google,,7095.0,x
135.0, Pedro Rojas ,pedro649@gmail.com,13-10-2023,,,9-123,  GOOGLE  ,summer,,x
136.0,Javiera Silva,,28-01-2023,,Pro,9-123,  GOOGLE  ,,,y
137.0,valentina torres,correo_invalido,,ñuñoa,Pro,,,blackfriday,6335.0,
138.0, Valentina Torres ,valentina839@empresa.cl,,providencia,Pro,9-123,,SUMMER ,,y
139.0, Pedro Rojas ,pedro277@empresa.cl,,Ñuñoa,Free,9-123,linkedin,SUMMER ,,   
140.0,,,,,Enterprise,9-123,  GOOGLE  ,,8484.0,   
141.0,Luis Díaz,,18-09-2023,Maipú,Pro,9-123,  GOOGLE  ,summer,,   
142.0, Luis Díaz ,correo_invalido,2024/12/23 00:00:00,Ñuñoa, free ,,meta,,,   
143.0,matías gonzález,,2024-04-20, Providencia ,Free,,  GOOGLE  ,SUMMER ,,   
, Javiera Silva ,,2024-13-40,Santiago,Enterprise,9-123,google,blackfriday,,
,Javiera Silva,,2024-13-40, Maipú , free ,9-123,google,blackfriday,,
146.0,Juan Soto,correo_invalido,,Ñuñoa, free ,,  GOOGLE  ,blackfriday,8273.0,   
,Maria López,correo_invalido,2024-13-40,,Free,+56 9 7740 1175,linkedin,summer,,x
148.0,MATÍAS GONZÁLEZ,correo_invalido,2024-13-40,la florida,,9-123,meta,SUMMER ,9859.0,y
149.0,María López,maría103@gmail.com,, La Florida , free ,9-123,google,,2359.0,
150.0,,,2023-12-13, Providencia ,,+56 9 7318 1320,meta,SUMMER ,9547.0,   
151.0,Ana Pérez,,03/05/2024, Santiago ,Enterprise,,google,blackfriday,6387.0,   
152.0,Luis Díaz,luis812@outlook.com,2024-13-40,PROVIDENCIA,Enterprise,+56 9 7209 4056,linkedin,SUMMER ,,x
153.0, Camila Fuentes ,camila667@gmail.com,29-12-2025,maipú,,+56 9 5013 7346,,,5644.0,   
154.0,ana pérez,ana825@outlook.com,2024-13-40,PUENTE ALTO,Free,9-123,meta,SUMMER ,7653.0,y
, Camila Fuentes ,,23/12/2024,Maipú,Pro,9-123,meta,,,
,Javiera Silva,javiera218@outlook.com,19-05-2024,Puente Alto,Free,9-123,,summer,9301.0,
157.0,,,2024-13-40,,Free,9-123,linkedin,blackfriday,,x
, Pedro Rojas ,,13/08/2024,,Pro,+56 9 5530 3890,linkedin,,6760.0,   
,Pedro Rojas,pedro187@empresa.cl,2025/03/31 00:00:00,Ñuñoa,Pro,+56 9 1662 7629,  GOOGLE  ,blackfriday,7057.0,
160.0,Maria López,correo_invalido,2024-13-40,Providencia, free ,,  GOOGLE  ,,16.0,
,Ana Pérez,ana39@empresa.cl,07/04/2023,,Free,9-123,  GOOGLE  ,blackfriday,4607.0,
,Diego Herrera,correo_invalido,2025/06/25 00:00:00,,Pro,+56 9 8018 9386,,blackfriday,,y
163.0,Javiera Silva,javiera267@outlook.com,2024-13-40,providencia,Enterprise,+56 9 7744 2516,linkedin,blackfriday,,   
,,correo_invalido,2024-05-10,,Enterprise,9-123,  GOOGLE  ,blackfriday,5466.0,   
165.0, María López ,maría852@outlook.com,,puente alto,Free,+56 9 6906 8972,google,summer,,y
166.0,JUAN SOTO,,24-09-2024,la florida,Enterprise,+56 9 3754 2176,google,SUMMER ,7955.0,
, Matías González ,,2024-06-25,Providencia,Enterprise,+56 9 1136 6886,linkedin,,4031.0,y
168.0,ana pérez,correo_invalido,21-02-2023,,Pro,9-123,  GOOGLE  ,,6216.0,
169.0,Camila Fuentes,,2024/04/16 00:00:00,Providencia,Free,+56 9 2756 7606,meta,SUMMER ,,y
,LUIS DÍAZ,,14/06/2023, Puente Alto ,Free,,meta,blackfriday,6103.0,x
171.0,matías gonzález,correo_invalido,13-11-2025, Puente Alto ,Enterprise,+56 9 2027 8187,meta,blackfriday,,x
172.0, Valentina Torres ,correo_invalido,, Maipú ,,9-123,  GOOGLE  ,summer,,
173.0,,,2025/05/12 00:00:00,Ñuñoa,Free,9-123,,summer,,   
, Camila Fuentes ,camila406@empresa.cl,21/12/2025,PROVIDENCIA,Pro,+56 9 9980 2839,linkedin,summer,,   
,Pedro Rojas,correo_invalido,27/07/2025,La Florida,,9-123,google,SUMMER ,2201.0,x
176.0,VALENTINA TORRES,valentina577@mail.com,,providencia,,+56 9 1942 7624,google,,684.0,y
,VALENTINA TORRES,correo_invalido,2024-09-06,Providencia,Free,,linkedin,summer,4189.0,y
,camila fuentes,camila740@mail.com,2024-13-40,la florida,Free,,  GOOGLE  ,summer,560.0,
179.0,Camila Fuentes,camila859@mail.com,2024-13-40, Santiago ,Free,+56 9 2208 5233,meta,,6240.0,
180.0,Javiera Silva,,04-07-2024, La Florida ,Free,+56 9 1580 2222,  GOOGLE  ,SUMMER ,7795.0,   
,Diego Herrera,correo_invalido,,providencia,Pro,+56 9 1715 4463,linkedin,SUMMER ,,   
182.0,Camila Fuentes,camila496@empresa.cl,2024-10-05,SANTIAGO, free ,9-123,meta,,,x
,Javiera Silva,correo_invalido,2024/06/20 00:00:00,Santiago,Free,9-123,  GOOGLE  ,summer,,y
184.0,,,2023/05/28 00:00:00,, free ,9-123,linkedin,,,y
185.0,PEDRO ROJAS,,16/12/2024, Maipú ,,9-123,google,blackfriday,,
186.0,Matias González,correo_invalido,2024-11-28,providencia,,,,summer,,y
187.0,LUIS DÍAZ,luis642@empresa.cl,,Puente Alto,Pro,,meta,,8224.0,y
,Pedro Rojas,correo_invalido,27/04/2023,,Pro,,  GOOGLE  ,summer,5291.0,y
189.0,,correo_invalido,2024-13-40,puente alto,Pro,+56 9 1941 7787,google,,,
190.0,Valentina Torres,valentina670@empresa.cl,2023-01-28,Maipú,Enterprise,+56 9 3567 2531,meta,blackfriday,2338.0,
,,correo_invalido,2025/05/16 00:00:00,La Florida,Enterprise,9-123,,summer,,
192.0,CAMILA FUENTES,correo_invalido,,Maipú,Enterprise,,google,summer,2198.0,x
,JAVIERA SILVA,correo_invalido,24/10/2025,PROVIDENCIA,Pro,,meta,SUMMER ,8175.0,
194.0,Diego Herrera,diego111@gmail.com,31/07/2025, Puente Alto ,Enterprise,9-123,,SUMMER ,6154.0,x
, Luis Díaz ,,2023/02/12 00:00:00,providencia, free ,,meta,blackfriday,,y
196.0,Luis Díaz,luis498@outlook.com,2024-08-01,,,9-123,google,blackfriday,5905.0,   
197.0,,maría26@gmail.com,09/06/2025,SANTIAGO,Enterprise,9-123,linkedin,summer,,   
,,,2025/04/28 00:00:00,Santiago,Pro,+56 9 4299 1251,meta,blackfriday,,x
199.0,Ana Pérez,ana124@mail.com,2023/04/09 00:00:00, La Florida ,Free,9-123,  GOOGLE  ,blackfriday,8938.0,
200.0,VALENTINA TORRES,,2023/06/08 00:00:00,PUENTE ALTO,Free,+56 9 5335 5407,google,blackfriday,8336.0,   
201.0,javiera silva,correo_invalido,2025/01/12 00:00:00,Maipú,Enterprise,9-123,,,,
202.0, Javiera Silva ,,08-05-2025,,Free,,  GOOGLE  ,SUMMER ,3945.0,x
203.0, Juan Soto ,correo_invalido,2024-13-40, Puente Alto ,,9-123,google,SUMMER ,,   
,Pedro Rojas,correo_invalido,2025/02/14 00:00:00,,Enterprise,9-123,meta,,,
205.0,JAVIERA SILVA,correo_invalido,,Providencia,Pro,9-123,meta,blackfriday,7542.0,x
206.0,Camila Fuentes,correo_invalido,2025/02/19 00:00:00, Ñuñoa ,Free,9-123,  GOOGLE  ,,7419.0,
,Diego Herrera,correo_invalido,17-08-2024,Providencia,Pro,,,blackfriday,,   
208.0,Luis Díaz,luis585@empresa.cl,,LA FLORIDA,Enterprise,,linkedin,blackfriday,,x
209.0,JAVIERA SILVA,correo_invalido,2025-10-07,Ñuñoa, free ,+56 9 7155 7015,linkedin,SUMMER ,,
210.0,Pedro Rojas,pedro197@empresa.cl,,PUENTE ALTO,Enterprise,,,SUMMER ,,   
, Ana Pérez ,correo_invalido,, Maipú , free ,,,SUMMER ,2217.0,y
212.0,,,,Maipú,Free,9-123,google,summer,8142.0,y
,MATÍAS GONZÁLEZ,,2025-07-19,Santiago, free ,+56 9 3297 7667,meta,,5478.0,x
214.0,María López,,,puente alto,,,google,,4989.0,   
215.0,DIEGO HERRERA,correo_invalido,2024/06/10 00:00:00,puente alto, free ,,linkedin,blackfriday,7479.0,
216.0,Ana Pérez,ana844@empresa.cl,2025-12-27,ÑUÑOA, free ,9-123,meta,SUMMER ,,y
217.0,,pedro128@gmail.com,29/04/2023,Santiago, free ,9-123,  GOOGLE  ,blackfriday,8163.0,
218.0,,,30/12/2025,SANTIAGO,Free,+56 9 1824 7794,linkedin,SUMMER ,6957.0,x
219.0,maría lópez,correo_invalido,27/03/2023,,,,linkedin,blackfriday,2489.0,   
220.0,,correo_invalido,01-11-2024,,Free,+56 9 4246 8609,meta,SUMMER ,,x
,ANA PÉREZ,,2024-12-21,maipú,Free,+56 9 9135 2523,,,4964.0,y
222.0,Maria López,maría947@empresa.cl,2025/08/21 00:00:00,La Florida,Free,+56 9 1021 6640,meta,,821.0,
223.0,camila fuentes,camila761@empresa.cl,09-07-2025,santiago,Free,9-123,  GOOGLE  ,summer,,   
,Ana Pérez,correo_invalido,2023-03-11,PUENTE ALTO, free ,,meta,,2781.0,
225.0,ana pérez,ana97@gmail.com,2025/09/10 00:00:00,SANTIAGO, free ,9-123,google,,7665.0,y
226.0,matías gonzález,,,Maipú,Pro,9-123,  GOOGLE  ,blackfriday,1557.0,x
,ANA PÉREZ,ana706@outlook.com,2024-13-40,PROVIDENCIA,Enterprise,,  GOOGLE  ,summer,4784.0,x
228.0,Matias González,matías794@gmail.com,21/03/2024,Santiago,Enterprise,+56 9 2606 1675,  GOOGLE  ,blackfriday,,x
229.0, Valentina Torres ,valentina806@mail.com,2024-01-10,SANTIAGO,Pro,+56 9 9378 3738,linkedin,blackfriday,3339.0,y
230.0,Camila Fuentes,camila510@empresa.cl,2023-05-17,,Free,,,summer,5722.0,   
,valentina torres,correo_invalido,2023/10/04 00:00:00,,,,  GOOGLE  ,,9726.0,x
232.0,Luis Diaz,,20/04/2024,,Free,9-123,linkedin,SUMMER ,6656.0,y
233.0,camila fuentes,camila501@gmail.com,2025/05/23 00:00:00, Maipú , free ,+56 9 5906 8495,linkedin,blackfriday,,   
234.0,Valentina Torres,correo_invalido,2023/03/08 00:00:00, Maipú ,,+56 9 4960 2977,google,SUMMER ,,
235.0,CAMILA FUENTES,,2023/11/06 00:00:00,maipú,,,  GOOGLE  ,summer,6.0,x
,pedro rojas,correo_invalido,,Santiago,,,,summer,,   
237.0,,correo_invalido,2024/08/28 00:00:00,Puente Alto, free ,9-123,google,summer,,   
,Luis Diaz,luis768@mail.com,15/11/2025, Ñuñoa ,Pro,+56 9 1115 5447,meta,summer,6427.0,
239.0, Pedro Rojas ,correo_invalido,,, free ,9-123,linkedin,,,x
240.0,Javiera Silva,javiera827@gmail.com,12/12/2024,,,+56 9 3796 6111,  GOOGLE  ,,,y
241.0,Luis Diaz,,25-09-2024,,Enterprise,,,SUMMER ,4373.0,y
242.0,,matías164@empresa.cl,,providencia,,+56 9 8704 7745,linkedin,SUMMER ,,
243.0,Juan Soto,,15-06-2024,la florida,Enterprise,9-123,google,SUMMER ,,y
244.0,,,30-08-2023, Maipú ,Enterprise,9-123,meta,SUMMER ,4731.0,y
245.0,Camila Fuentes,correo_invalido,16-05-2023, Maipú ,Pro,+56 9 5486 3170,meta,blackfriday,8202.0,
246.0,,correo_invalido,2025/02/19 00:00:00,,Free,9-123,meta,blackfriday,5067.0,
247.0,,matías530@gmail.com,2023/06/11 00:00:00,ÑUÑOA,Free,,linkedin,summer,7303.0,x
248.0,JAVIERA SILVA,,2025-08-15,La Florida,Pro,,  GOOGLE  ,summer,3654.0,x
249.0,Javiera Silva,correo_invalido,02-07-2024,Santiago,Free,9-123,  GOOGLE  ,SUMMER ,3708.0,
250.0,Javiera Silva,correo_invalido,2024-13-40, Providencia , free ,,  GOOGLE  ,blackfriday,,y
,Luis Diaz,luis17@mail.com,2024-02-02,,Pro,9-123,linkedin,summer,259.0,
,,correo_invalido,2025-05-05,,Pro,,google,summer,,   
253.0,Ana Pérez,,2025-07-20, Maipú ,Free,,meta,summer,,   
,Pedro Rojas,correo_invalido,2024/12/25 00:00:00,Ñuñoa, free ,,meta,blackfriday,211.0,y
255.0,Matías González,,24-12-2025,SANTIAGO,,,linkedin,SUMMER ,7939.0,x
256.0,Pedro Rojas,pedro101@outlook.com,2024/02/23 00:00:00, Maipú ,,9-123,google,SUMMER ,,y
257.0,Valentina Torres,correo_invalido,,Maipú,Pro,,  GOOGLE  ,blackfriday,628.0,x
258.0,Pedro Rojas,pedro412@outlook.com,2023-01-02,Puente Alto,,+56 9 7778 5308,meta,SUMMER ,,x
,JUAN SOTO,juan631@empresa.cl,18/01/2024, La Florida ,Free,9-123,google,summer,,   
,DIEGO HERRERA,correo_invalido,,MAIPÚ,Free,+56 9 4393 8029,  GOOGLE  ,summer,,x
261.0,juan soto,,2024-05-04,ÑUÑOA, free ,+56 9 6486 4146,google,summer,714.0,y
262.0,Javiera Silva,correo_invalido,28-02-2025,Santiago,Free,,google,blackfriday,,
263.0,María López,maría333@mail.com,2024/06/01 00:00:00, Providencia ,Pro,,meta,summer,6758.0,
264.0,PEDRO ROJAS,pedro912@empresa.cl,2024/12/31 00:00:00,LA FLORIDA,Free,,linkedin,,1053.0,   
265.0,,,,,Free,,google,,7068.0,y
,MATÍAS GONZÁLEZ,,,providencia,Enterprise,9-123,meta,,9686.0,x
267.0,matías gonzález,correo_invalido,2024-13-40,Santiago,Free,+56 9 2203 6922,meta,summer,,   
268.0, María López ,,2023/07/24 00:00:00,Puente Alto, free ,+56 9 6608 6286,google,SUMMER ,3707.0,y
,Camila Fuentes,camila866@outlook.com,2024/11/18 00:00:00,SANTIAGO,,+56 9 6111 5309,google,blackfriday,7888.0,x
270.0,Diego Herrera,diego598@outlook.com,2024-13-40,santiago,Free,,linkedin,blackfriday,,
