order_id,order_date,ship_date,delivery_date,order_status,customer_id,customer_name,country,state,city,product_id,product_name,category,sub_category,brand,quantity,unit_price,discount,shipping_cost,total_sales,payment_method
A10034,2026-01-14,2026-02-04,2026-01-17,Delivered,C5483,Christine Hartman,India,Texas,South Samanthaside,P872,authority,Home,Furniture,Adkins Inc,4,49095.73,0.06,100.78,184700.7248,Card
A10035,2026-01-26,2026-01-09,2026-01-12,Delivered,C4205,Randall Williams,India,Nebraska,Penningtonborough,P584,coach,Fashion,Footwear,"Horton, Schmidt and Jones",5,15493.4,0.17,90.94,64388.549999999996,Card
A10036,2026-02-03,2026-01-25,2026-01-03,Delivered,C5260,Jeffrey Zhang,India,Nevada,Lake Jennystad,P559,town,Home,Kitchen,"Lindsey, Owen and Mcknight",5,23967.96,0.19,60.13,97130.368,UPI
A10037,2026-01-19,2026-01-20,2026-01-01,Delivered,C6017,Christina Arnold,India,Rhode Island,Ricefurt,P127,look,Fashion,Clothing,Jacobs LLC,1,33163.41,0.0,23.73,33187.14000000001,Card
A10038,2026-02-08,2026-01-24,2026-02-01,Delivered,C4061,Molly Miranda,India,New Mexico,Teresahaven,P331,computer,Fashion,Footwear,Norton Inc,2,44335.48,0.17,107.54,73704.4368,UPI
A10039,2026-01-18,2026-01-02,2026-01-16,Delivered,C9061,Kathleen Cox,India,Mississippi,Thomasshire,P730,bed,Fashion,Footwear,Martinez-Myers,5,45342.26,0.17,57.71,188228.089,Card
A10040,2026-01-25,2026-01-15,2026-01-04,Delivered,C1549,Michael Hall,India,West Virginia,Michaelbury,P147,sign,Fashion,Clothing,Ford Group,5,32604.47,0.13,134.62,141964.0645,UPI
A10041,2026-01-20,2026-01-03,2026-01-07,Delivered,C3074,James Goodman,India,New Mexico,West Nancymouth,P970,car,Electronics,Accessories,"Adams, Holder and Smith",3,44612.43,0.02,137.4,131297.9442,COD
A10042,2026-01-09,2026-01-13,2026-01-05,Delivered,C9843,Patrick Callahan,India,Kansas,Edwardshire,P870,still,Home,Kitchen,"Morrow, Dunn and Vang",2,37565.29,0.15,68.44,63929.433000000005,UPI
A10043,2026-02-04,2026-01-27,2026-01-15,Delivered,C9457,Marie Scott PhD,India,Kansas,South Tarastad,P873,mother,Electronics,Laptop,Bell Ltd,1,37404.81,0.07,32.9,34819.3733,COD
A10044,2026-01-07,2026-01-18,2026-02-10,Delivered,C5410,Tara Vang,India,Rhode Island,Mikaylastad,P182,back,Electronics,Laptop,"Ray, Carr and Peterson",5,45130.57,0.17,42.74,187334.60549999998,NetBanking
A10045,2026-01-07,2026-02-04,2026-01-09,Delivered,C5749,Tiffany Simpson PhD,India,Pennsylvania,Smithfort,P757,then,Home,Furniture,Wilson-Benson,2,48196.22,0.03,50.84,93551.5068,NetBanking
A10046,2026-01-28,2026-01-24,2026-01-08,Delivered,C1779,Michelle Ball,India,North Dakota,Watsonside,P884,have,Electronics,Laptop,Williams-Perry,5,43400.58,0.2,92.65,173694.97000000003,Card
A10047,2026-02-07,2026-01-20,2026-01-03,Delivered,C7431,Tony Rogers,India,New Mexico,Woodsville,P519,shoulder,Home,Furniture,"Jordan, Glenn and Larson",4,33676.94,0.08,148.65,124079.78920000001,COD
A10048,2026-01-19,2026-01-02,2026-02-03,Delivered,C9990,Felicia Garcia,India,Vermont,Randytown,P610,rest,Fashion,Clothing,"Henderson, Woods and Williams",1,27357.95,0.03,99.33,26636.541500000003,COD
A10049,2026-01-30,2026-01-28,2026-01-22,Delivered,C7999,Haley Arroyo,India,Arizona,Kramerview,P865,hospital,Fashion,Footwear,"Gonzalez, Morales and Stone",4,6284.88,0.17,110.25,20976.0516,UPI
A10050,2026-01-19,2026-01-10,2026-01-18,Delivered,C4790,Kevin Allen Jr.,India,Colorado,Williamsview,P646,stuff,Fashion,Footwear,Barnett-Haynes,4,20837.93,0.04,134.66,80152.3112,NetBanking
A10051,2026-02-03,2026-01-09,2026-01-04,Delivered,C8291,Melissa Sharp,India,Minnesota,Port Marc,P996,professional,Fashion,Clothing,"Woods, Wood and Ray",4,39983.39,0.1,56.85,143997.054,UPI
A10052,2026-02-05,2026-02-04,2026-01-23,Delivered,C5780,Nicholas Rivera,India,Connecticut,Sabrinachester,P556,local,Fashion,Clothing,Reed Ltd,2,19749.22,0.24,129.13,30147.944400000004,NetBanking
A10053,2026-02-03,2026-01-08,2026-01-11,Delivered,C5678,Melissa Kramer,India,Massachusetts,Toddmouth,P811,both,Home,Furniture,"Pena, Hernandez and Jones",3,15173.45,0.1,80.82,41049.13500000001,COD
A10054,2026-01-25,2026-02-10,2026-01-19,Delivered,C9103,Calvin Good,India,Delaware,Smithville,P522,bit,Home,Kitchen,"Holder, Ruiz and Rogers",2,27975.87,0.03,144.81,54417.9978,NetBanking
A10055,2026-01-23,2026-01-13,2026-02-04,Delivered,C7427,Ryan Lang,India,South Carolina,Maryville,P621,structure,Home,Furniture,"Thompson, Vincent and Fischer",3,40954.08,0.11,83.44,109430.83360000001,Card
A10056,2026-01-25,2026-02-03,2026-01-08,Delivered,C8942,Katie Jones,India,Texas,Amandashire,P224,service,Home,Furniture,Mitchell-Smith,5,19710.75,0.15,24.43,83795.1175,Card
A10057,2026-02-03,2026-01-25,2026-01-09,Delivered,C6760,Zachary Lang,India,Arkansas,Ramirezberg,P111,line,Home,Kitchen,Mcneil Group,4,31801.02,0.0,79.39,127283.47,Card
A10058,2026-01-13,2026-01-05,2026-01-22,Delivered,C9162,Krista Johnson,India,North Carolina,South Johnmouth,P308,whom,Fashion,Footwear,Watkins PLC,2,34666.81,0.27,106.28,50719.82259999999,COD
A10059,2026-01-06,2026-01-01,2026-02-04,Delivered,C2435,Theresa Obrien,India,Washington,South Dianeview,P173,he,Fashion,Footwear,"Mayo, Murray and Griffin",4,23387.53,0.29,25.15,66445.73519999998,Card
A10060,2026-02-08,2026-01-11,2026-02-04,Delivered,C3433,Brooke Johnson,India,Vermont,Lake Jeffreyhaven,P277,choice,Fashion,Footwear,Johnson-Smith,4,45173.84,0.14,70.86,155468.86959999998,Card
A10061,2026-02-07,2026-01-05,2026-01-24,Delivered,C9715,Danny Hart,India,Iowa,East Josephborough,P135,realize,Electronics,Laptop,"Duran, Waters and Wilson",1,48746.16,0.18,70.37,40042.22120000001,COD
A10062,2026-01-20,2026-01-06,2026-01-27,Delivered,C6440,Steven Simmons,India,Missouri,North Johnny,P368,single,Fashion,Clothing,Chan-Combs,3,47208.53,0.17,128.08,117677.3197,NetBanking
A10063,2026-01-13,2026-01-31,2026-01-01,Delivered,C8691,Donna Walsh,India,Arizona,Martinezport,P355,process,Fashion,Footwear,Williams-Carlson,4,39403.4,0.28,126.89,113608.682,UPI
A10064,2026-01-25,2026-01-26,2026-01-01,Delivered,C1421,Toni Lopez,India,California,Lake Brianmouth,P479,guy,Fashion,Footwear,Patterson PLC,1,10336.8,0.05,145.91,9965.869999999999,NetBanking
A10065,2026-01-14,2026-01-15,2026-02-04,Delivered,C6075,Teresa Summers,India,Colorado,North Matthew,P661,house,Home,Furniture,"Lewis, Bishop and Smith",2,34135.35,0.28,27.97,49182.873999999996,COD
A10066,2026-01-14,2026-02-01,2026-01-24,Delivered,C1156,Julie Andersen,India,Rhode Island,Greenehaven,P884,challenge,Electronics,Accessories,English PLC,1,7373.11,0.2,51.63,5950.118,Card
A10067,2026-01-12,2026-02-02,2026-01-23,Delivered,C9749,Darryl Ramirez,India,Wyoming,West Adammouth,P728,customer,Home,Kitchen,"Harris, Spence and Hoover",3,33032.47,0.1,53.79,89241.459,COD
A10068,2026-01-26,2026-01-28,2026-01-18,Delivered,C9187,Zachary Jones,India,Alaska,Carolberg,P389,call,Electronics,Accessories,"Wilson, Wallace and Dean",3,46261.86,0.13,49.11,120792.56460000001,Card
A10069,2026-02-06,2026-02-06,2026-02-05,Delivered,C2089,Patrick Stevens,India,Virginia,Bryanmouth,P844,hospital,Fashion,Clothing,Hudson Group,2,42173.72,0.16,115.19,70967.0396,UPI
A10070,2026-01-15,2026-01-16,2026-02-04,Delivered,C9659,Elizabeth Guerra,India,Colorado,Shannonview,P791,hit,Electronics,Mobile,Thomas PLC,5,19513.14,0.26,126.8,72325.418,Card
A10071,2026-01-08,2026-01-02,2026-01-10,Delivered,C3053,Katherine Wiggins,India,California,Valenciaville,P484,mention,Electronics,Mobile,Jones-Lewis,5,48262.68,0.02,52.79,236539.922,COD
A10072,2026-02-10,2026-01-26,2026-01-26,Delivered,C1833,Lance Smith,India,Louisiana,West Janetville,P520,forget,Home,Kitchen,Holt Ltd,1,46401.18,0.01,32.6,45969.7682,UPI
A10073,2026-02-07,2026-02-09,2026-01-31,Delivered,C3373,Stephanie Russell,India,New York,Snowview,P873,American,Electronics,Accessories,Smith-Jefferson,5,7926.6,0.21,39.58,31349.65,COD
A10074,2026-01-28,2026-01-05,2026-01-23,Delivered,C3889,Catherine Ramos,India,Oklahoma,North Sarah,P574,guy,Electronics,Accessories,Hopkins-Harrington,3,43809.55,0.17,134.93,109220.70950000001,Card
A10075,2026-01-26,2026-01-31,2026-01-02,Delivered,C7562,Amber Boyd,India,Delaware,East Sandra,P318,produce,Fashion,Footwear,Santiago LLC,3,12235.34,0.01,148.38,36487.3398,UPI
A10076,2026-01-13,2026-01-07,2026-01-20,Delivered,C8868,Donna Rice,India,Montana,South Heatherstad,P430,recently,Electronics,Mobile,Berry Group,2,49895.08,0.23,86.92,76925.3432,UPI
A10077,2026-01-05,2026-01-29,2026-01-22,Delivered,C3225,Michael Atkinson,India,Nevada,Hessfurt,P903,threat,Electronics,Accessories,White-Bell,5,43216.87,0.07,141.63,201100.0755,NetBanking
A10078,2026-01-01,2026-02-10,2026-01-31,Delivered,C8939,Kristi Powell,India,Florida,New Christianburgh,P491,resource,Home,Furniture,Dillon Inc,4,17908.7,0.2,32.73,57340.57000000001,UPI
A10079,2026-01-21,2026-01-30,2026-01-12,Delivered,C1271,Chloe Gordon,India,Louisiana,Stewartfort,P322,focus,Fashion,Footwear,Joseph LLC,5,15962.55,0.1,87.01,71918.485,COD
A10080,2026-01-18,2026-01-19,2026-02-03,Delivered,C8041,Kevin Stewart,India,Minnesota,Elizabethstad,P227,middle,Home,Furniture,Ramirez and Sons,5,42671.25,0.25,59.18,160076.3675,NetBanking
A10081,2026-02-01,2026-01-03,2026-01-27,Delivered,C8500,Gregory Atkinson,India,Wisconsin,Phillipsport,P848,free,Home,Kitchen,Kim Group,2,19034.51,0.02,140.4,37448.0396,UPI
A10082,2026-01-28,2026-02-10,2026-01-14,Delivered,C8501,David Taylor,India,Arizona,South Robert,P594,but,Fashion,Clothing,"Barnett, Carroll and Bates",4,456.92,0.08,141.35,1822.8156000000001,UPI
A10083,2026-02-07,2026-01-12,2026-01-21,Delivered,C4385,Nicole Buchanan,India,Massachusetts,Lake Jillburgh,P361,charge,Fashion,Clothing,Robinson-Scott,3,28427.24,0.17,34.05,70817.8776,COD
A10084,2026-01-16,2026-01-21,2026-01-05,Delivered,C9389,Ashley Powell,India,New Jersey,East Andrew,P971,matter,Fashion,Clothing,"Mcguire, Johnston and Rodriguez",5,8438.88,0.05,57.11,40141.78999999999,NetBanking
A10085,2026-01-10,2026-01-02,2026-01-17,Delivered,C7775,Robert Griffin,India,Kansas,Kathymouth,P821,throw,Fashion,Clothing,Bullock-Christensen,5,13146.23,0.14,89.4,56618.189,COD
A10086,2026-01-05,2026-01-13,2026-01-17,Delivered,C6412,Tracie Shah,India,Wisconsin,Turnerland,P600,although,Electronics,Laptop,"White, Robertson and Miles",3,37180.1,0.2,63.11,89295.34999999999,COD
A10087,2026-02-07,2026-01-23,2026-02-06,Delivered,C6626,Raven Barajas,India,South Dakota,Lake Bryanburgh,P573,hand,Fashion,Clothing,Molina-Griffin,1,2448.51,0.18,127.24,2135.0182000000004,UPI
A10088,2026-01-26,2026-01-19,2026-02-05,Delivered,C6475,Elizabeth Wood,India,Missouri,Colinstad,P862,beautiful,Home,Furniture,Morgan Inc,2,10365.98,0.18,65.18,17065.3872,Card
A10089,2026-01-17,2026-02-06,2026-01-05,Delivered,C3275,Deanna Gilbert,India,California,Bennettfort,P121,easy,Home,Kitchen,Garcia-Powers,3,7676.71,0.23,143.7,17876.900100000003,UPI
A10090,2026-01-22,2026-01-02,2026-02-01,Delivered,C2401,Michael Barnett,India,North Dakota,Anthonyport,P470,certain,Fashion,Footwear,Smith Ltd,4,6909.83,0.13,41.45,24087.6584,COD
A10091,2026-01-12,2026-02-09,2026-01-09,Delivered,C6713,Valerie Stanley,India,Georgia,Lake Russellhaven,P907,name,Fashion,Footwear,"Brown, Fox and Anthony",1,27049.63,0.25,67.13,20354.3525,Card
A10092,2026-01-18,2026-01-10,2026-01-05,Delivered,C4904,Scott Smith,India,Minnesota,Jennifershire,P516,soon,Fashion,Footwear,"Anderson, Hatfield and Collins",4,37990.33,0.04,117.91,146000.7772,UPI
A10093,2026-01-19,2026-02-02,2026-01-14,Delivered,C9758,Christopher Brown,India,Virginia,Angelicastad,P193,specific,Fashion,Footwear,Moss-Perry,2,14317.44,0.29,145.39,20476.1548,NetBanking
A10094,2026-01-31,2026-01-08,2026-01-23,Delivered,C2600,Kelsey Carter DVM,India,Vermont,Charlesborough,P571,with,Home,Furniture,Harvey-Johnson,4,27289.16,0.21,104.33,86338.07560000001,COD
A10095,2026-01-17,2026-01-21,2026-02-10,Delivered,C2177,Tammy Bowman,India,Vermont,North Johnborough,P446,coach,Fashion,Clothing,Hanson Inc,2,4333.7,0.16,35.57,7316.185999999999,COD
A10096,2026-01-10,2026-01-22,2026-01-03,Delivered,C4805,Glenn Walker,India,Texas,Justinborough,P674,window,Fashion,Footwear,Mendez-Clark,4,16203.28,0.05,81.01,61653.474,NetBanking
A10097,2026-01-04,2026-01-13,2026-01-24,Delivered,C6937,Kevin Arias,India,New York,Whiteport,P900,all,Electronics,Accessories,Cook PLC,5,15727.41,0.26,138.43,58329.847,Card
A10098,2026-02-06,2026-01-02,2026-01-29,Delivered,C4998,Kevin Elliott,India,Rhode Island,North Edward,P167,southern,Electronics,Accessories,Walker-Schroeder,1,4540.82,0.05,42.93,4356.709,UPI
A10099,2026-01-30,2026-01-12,2026-01-05,Delivered,C8263,Daniel Richards,India,Alabama,Ashleytown,P979,themselves,Electronics,Mobile,"Schmitt, Cooley and Jenkins",3,41981.4,0.3,55.51,88216.45,UPI
A10100,2026-02-03,2026-01-31,2026-02-01,Delivered,C5258,Jacob Flores,India,Louisiana,Ryanside,P244,number,Fashion,Footwear,Matthews-Griffin,1,34735.2,0.01,124.65,34512.498,NetBanking
A10101,2026-02-01,2026-02-09,2026-02-08,Delivered,C9020,Martin Liu,India,Kentucky,Lesliefort,P181,standard,Fashion,Footwear,Rose PLC,2,32433.96,0.23,42.48,49990.7784,NetBanking
A10102,2026-02-07,2026-01-11,2026-02-07,Delivered,C2770,Victor Cummings,India,Louisiana,Tannertown,P803,mouth,Fashion,Clothing,"Garcia, Larson and Murphy",5,43242.93,0.12,50.59,190319.482,UPI
A10103,2026-01-28,2026-01-02,2026-01-25,Delivered,C3675,Andrea Walker,India,Michigan,North Michaelmouth,P482,ago,Fashion,Footwear,Esparza-Stanton,5,12346.84,0.11,69.47,55012.907999999996,Card
A10104,2026-02-01,2026-02-08,2026-01-17,Delivered,C8752,Tracie Petty,India,South Dakota,Gonzalezport,P467,discussion,Fashion,Clothing,Chambers Group,5,35496.31,0.19,138.5,143898.5555,Card
A10105,2026-01-22,2026-01-12,2026-01-09,Delivered,C7207,Bruce Bishop,India,Nevada,Amandahaven,P966,feel,Electronics,Mobile,Martin-Parker,3,15158.66,0.22,127.97,35599.2344,COD
A10106,2026-01-28,2026-01-02,2026-01-03,Delivered,C8351,Jeffrey Palmer,India,Washington,Johnborough,P348,before,Electronics,Accessories,White-Graham,2,19410.84,0.09,136.0,35463.728800000004,COD
A10107,2026-02-08,2026-01-09,2026-01-13,Delivered,C5941,Michelle Brown,India,Delaware,Cynthiastad,P613,play,Home,Kitchen,Parker and Sons,4,10630.49,0.2,48.2,34065.768,Card
A10108,2026-01-31,2026-02-05,2026-01-27,Delivered,C4715,John Forbes,India,Tennessee,Boydmouth,P182,beyond,Electronics,Accessories,Lewis-Gonzales,1,20193.88,0.0,40.46,20234.34,NetBanking
A10109,2026-01-02,2026-01-17,2026-02-10,Delivered,C1583,Jay Holder,India,South Dakota,North Kaitlynmouth,P255,behavior,Electronics,Laptop,Martinez Group,1,45862.74,0.12,46.17,40405.381199999996,NetBanking
A10110,2026-02-02,2026-01-16,2026-02-07,Delivered,C9202,Karen Lopez,India,Colorado,West Rachelshire,P358,force,Electronics,Accessories,"Underwood, Baker and Guzman",5,14145.68,0.06,98.83,66583.526,Card
A10111,2026-01-14,2026-01-04,2026-01-22,Delivered,C1581,Kelli Phillips,India,Illinois,Jasonberg,P737,maybe,Home,Kitchen,Roberts Inc,2,10238.28,0.16,107.94,17308.2504,UPI
A10112,2026-01-05,2026-01-14,2026-01-22,Delivered,C2266,Kaylee Davenport,India,Maryland,Kellybury,P888,song,Fashion,Clothing,Lambert-Cook,5,8585.73,0.22,134.52,33618.86699999999,NetBanking
A10113,2026-02-05,2026-01-31,2026-01-05,Delivered,C7597,Anthony Boyd,India,Virginia,North Annamouth,P522,it,Electronics,Mobile,Lewis Inc,2,47935.48,0.27,85.0,70070.8008,UPI
A10114,2026-01-05,2026-02-02,2026-01-14,Delivered,C2290,Megan Wilson,India,New Jersey,Caitlinmouth,P734,control,Electronics,Accessories,Ferguson PLC,4,9667.54,0.29,77.09,27532.9036,Card
A10115,2026-02-07,2026-01-06,2026-01-13,Delivered,C9996,Joseph Jones,India,Vermont,Carlosland,P991,resource,Fashion,Footwear,Perez-Richardson,2,28920.75,0.07,99.79,53892.384999999995,COD
A10116,2026-01-22,2026-01-22,2026-01-27,Delivered,C9051,Brian Miller,India,Nevada,Hernandezview,P595,alone,Home,Kitchen,"Edwards, Dougherty and Ingram",5,2094.14,0.09,70.47,9598.806999999999,UPI
A10117,2026-01-23,2026-01-18,2026-01-10,Delivered,C2968,Theodore Smith,India,Arizona,Saunderstown,P785,measure,Electronics,Mobile,"Stevens, Gentry and Harris",4,26210.55,0.22,105.01,81881.92599999999,COD
A10118,2026-01-26,2026-01-10,2026-01-29,Delivered,C4400,Scott Lee,India,Arizona,South Sean,P287,these,Home,Furniture,Knight-Scott,5,36147.11,0.03,56.89,175370.3735,Card
A10119,2026-02-01,2026-01-15,2026-02-07,Delivered,C2754,Patricia Gray,India,Pennsylvania,West Kristatown,P525,style,Home,Kitchen,Hall-Brock,5,30013.65,0.09,137.27,136699.3775,UPI
A10120,2026-01-31,2026-01-29,2026-01-05,Delivered,C3325,Robert Villarreal,India,Iowa,Lake Hannahshire,P587,major,Electronics,Accessories,"Rodriguez, Flowers and Martinez",1,26186.41,0.08,88.14,24179.6372,UPI
A10121,2026-01-23,2026-01-03,2026-02-02,Delivered,C3976,John Davis,India,Georgia,Wolfport,P847,rich,Fashion,Footwear,Foster Inc,2,25703.11,0.1,30.08,46295.67800000001,COD
A10122,2026-01-14,2026-01-25,2026-01-20,Delivered,C7955,Yolanda Walter,India,Kentucky,South Suzanne,P994,media,Home,Furniture,Elliott Inc,2,43148.95,0.2,28.01,69066.32999999999,UPI
A10123,2026-02-01,2026-01-16,2026-02-07,Delivered,C3806,Derek Smith,India,Alaska,Lambburgh,P162,call,Home,Kitchen,"Maldonado, George and Bell",1,14137.85,0.22,66.77,11094.293000000001,NetBanking
A10124,2026-02-06,2026-01-27,2026-02-03,Delivered,C9086,Leon Huynh,India,West Virginia,Dicksonside,P347,fill,Electronics,Laptop,Sexton-Leblanc,2,47364.78,0.21,53.25,74889.6024,COD
A10125,2026-01-30,2026-01-15,2026-01-11,Delivered,C5193,Daniel Anderson,India,Alabama,Port Christina,P321,chair,Home,Furniture,Phillips Inc,1,20882.1,0.01,100.31,20773.589,NetBanking
A10126,2026-01-11,2026-01-21,2026-02-04,Delivered,C9669,Daniel Moore,India,Colorado,East Kelly,P846,involve,Electronics,Laptop,Smith PLC,1,46950.84,0.16,32.4,39471.105599999995,UPI
A10127,2026-01-19,2026-02-04,2026-01-09,Delivered,C4919,Hannah Garcia,India,Tennessee,Pattonside,P411,off,Home,Furniture,"Brown, Osborne and Rodriguez",4,24597.23,0.09,31.64,89565.5572,COD
